year,color,mileage,motor,shasi,body,Insurance,price
۱۳۸۲,نقره‌ای,۴۰۰٬۰۰۰,نیاز به تعمیر,سالم و پلمپ,اوراقی,۵ ماه,۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,خاکستری,۷۹٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۳۵۵٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۲۵٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۰ ماه,۴۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۷,سفید,۲۱۸٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,۲۴۹٬۰۰۰٬۰۰۰ تومان
۱۳۸۷,سفید,۳۰۱٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۲۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,سفید,۲۳۷٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۲۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,نوک‌مدادی,۲۸۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,۲۵۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۷۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۱۰۵٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,۳۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۶۳٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,۳۶۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۶۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,سفید,۱۶۷٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۲۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۸۳٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۳۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,نوک‌مدادی,۲۸۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,۲۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید صدفی,۹۱٬۶۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۳۸۷٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۹۹,خاکستری,۵۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۱۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۵۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,۳۵۵٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۸۳,نقره‌ای,۲۹۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۲۰۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۱,آبی,۴۸۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۱۲ ماه,۲۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۱۳۰٬۰۰۰,سالم,ضربه‌خورده,رنگ‌شدگی,۱۲ ماه,۳۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۸۸٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۴ ماه,۳۳۸٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۶۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۴۲۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۸,خاکستری,۲۲۸٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,۲۷۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱۶٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,۴۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۲۱۸٬۰۵۵,سالم,سالم و پلمپ,رنگ‌شدگی,,۲۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,بژ,۲۸۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۲۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۴,خاکستری,۲۴۶٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,۱۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۱۸۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,۱۵۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۷۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,۳۹۸٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,گیلاسی,۳۰۹٬۵۰۰,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۱ ماه,۲۷۸٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,خاکستری,۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,نوک‌مدادی,۲۰۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,۲۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نوک‌مدادی,۱۹۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,۲۱۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۸۸٬۰۰۰,سالم,,سالم و بی‌خط و خش,۱۱ ماه,۳۹۸٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۵۳٬۰۰۰,سالم,,رنگ‌شدگی,۵ ماه,۴۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۸۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۳۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,بادمجانی,۱۵۹٬۰۰۰,سالم,سالم و پلمپ,تمام‌رنگ,۴ ماه,۲۸۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۳۹٬۵۰۰,,,سالم و بی‌خط و خش,۸ ماه,۴۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۴,سفید,۱۸۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۳۳۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۳۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,۴۲۰٬۰۰۰٬۰۰۰ تومان
